"startDate","speaker_timestamps","glb_chain","glb_variant","selected_image","contrastColor","participant_id","color_indices","listener_timestamps","conversation","targetType","glb_realization","condition","endTime","contrastType","distractorType","chain","age","comments","variant","education","listener_chat","languages","selected_type","compType","RT","speaker_chat","distractorColor","targetcompColor","intended_target","gender","trial_number","startTime","timeSpent","realization","anon_worker_id"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576513918353",1,1,"yellow_banana.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","1|3|0|2","1576513883739","<strong>Matcher</strong>: Do I just click on the object or do I need to send you a message also?\n<strong>Director</strong>: Just click on it I think. The new object is yellow and monkey's eat them.","banana",1,"ttn",1576513220007,"swan","carrot",1,54,NA,1,"Graduated High School","Do I just click on the object or do I need to send you a message also?","English","target","corn",81935,"Just click on it I think. The new object is yellow and monkey's eat them.","green","yellow","target","female",2,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576513989971",1,1,"white_pumpkin.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","2|3|0|1",NA,"<strong>Director</strong>: The new one is something we use at Halloween except it's white.","pumpkin",1,"aan",1576513220007,"lettuce","corn",1,54,NA,1,"Graduated High School",NA,"English","target","tomato",69519,"The new one is something we use at Halloween except it's white.","yellow","white","target","female",3,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514046075",1,1,"yellow_egg.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","2|3|0|1",NA,"<strong>Director</strong>: The object is yellow","egg",1,"tap",1576513220007,"egg","strawberry",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","pumpkin",46299,"The object is yellow","red","white","secondDistractor","female",4,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514068271",1,1,"yellow_corn.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|3|0",NA,"<strong>Director</strong>: The object is something on a cob","banana",1,"ttp",1576513220007,"banana","swan",1,54,NA,1,"Graduated High School",NA,"English","firstDistractor","corn",35233,"The object is something on a cob","green","yellow","firstDistractor","female",5,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514104091",1,1,"red_broccoli.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","1|0|2|3",NA,"<strong>Director</strong>: The object is red and it's usually green","broccoli",1,"atp",1576513220007,"broccoli","egg",1,54,NA,1,"Graduated High School",NA,"English","target","strawberry",21714,"The object is red and it's usually green","yellow","red","target","female",6,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514123318",1,1,"green_broccoli.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","3|0|1|2",NA,"<strong>Director</strong>: The object is green","broccoli",1,"atp",1576513220007,"broccoli","banana",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","tomato",24800,"The object is green","orange","red","secondDistractor","female",7,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514153970",1,1,"orange_lettuce.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","3|1|2|0",NA,"<strong>Director</strong>: The object is orange and used as a salad base","tomato",1,"tan",1576513220007,"carrot","lettuce",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","corn",26338,"The object is orange and used as a salad base","orange","red","thirdDistractor","female",8,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514172041",1,1,"red_broccoli.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","1|3|0|2",NA,"<strong>Director</strong>: Its red and normally green","broccoli",1,"tap",1576513220007,"broccoli","tomato",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","swan",15415,"Its red and normally green","white","green","secondDistractor","female",9,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514189187",1,1,"green_carrot.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","0|3|1|2",NA,"<strong>Director</strong>: Its green and usually orange","carrot",1,"aap",1576513220007,"carrot","pumpkin",1,54,NA,1,"Graduated High School",NA,"English","target","swan",25706,"Its green and usually orange","white","green","target","female",10,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514240944",1,1,"yellow_egg.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","3|1|2|0",NA,"<strong>Director</strong>: Its yellow with NO green","egg",1,"aan",1576513220007,"pumpkin","carrot",1,54,NA,1,"Graduated High School",NA,"English","target","strawberry",43591,"Its yellow with NO green","orange","yellow","target","female",11,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514257808",1,1,"white_swan.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|3|0",NA,"<strong>Director</strong>: Its a bird","swan",1,"ttn",1576513220007,"tomato","lettuce",1,54,NA,1,"Graduated High School",NA,"English","target","egg",13969,"Its a bird","orange","white","target","female",12,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514279032",1,1,"green_broccoli.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","1|3|0|2",NA,"<strong>Director</strong>: Green and looks like a tree","broccoli",1,"tan",1576513220007,"corn","egg",1,54,NA,1,"Graduated High School",NA,"English","target","carrot",34698,"Green and looks like a tree","white","green","target","female",13,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514306264",1,1,"white_swan.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","3|2|1|0",NA,"<strong>Director</strong>: Bird","pumpkin",1,"tan",1576513220007,"tomato","swan",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","banana",12978,"Bird","white","orange","thirdDistractor","female",14,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514321135",1,1,"white_tomato.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|0|3",NA,"<strong>Director</strong>: Whie and usually red","tomato",1,"atn",1576513220007,"carrot","lettuce",1,54,NA,1,"Graduated High School",NA,"English","target","swan",17120,"Whie and usually red","orange","white","target","female",15,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514340791",1,1,"white_swan.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","1|0|2|3",NA,"<strong>Director</strong>: Lower right","swan",1,"aap",1576513220007,"swan","strawberry",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","carrot",18981,"Lower right","red","green","firstDistractor","female",16,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514361199",1,1,"white_tomato.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","2|3|0|1",NA,"<strong>Director</strong>: White and normally red","carrot",1,"tan",1576513220007,"swan","tomato",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","banana",19727,"White and normally red","white","orange","thirdDistractor","female",17,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514382567",1,1,"white_tomato.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","1|0|3|2",NA,"<strong>Director</strong>: Same as last one","broccoli",1,"atn",1576513220007,"egg","tomato",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","strawberry",21856,"Same as last one","white","red","thirdDistractor","female",18,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514400894",1,1,"yellow_strawberry.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","1|0|3|2",NA,"<strong>Director</strong>: yellow and green","tomato",1,"tan",1576513220007,"carrot","strawberry",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","broccoli",18584,"yellow and green","yellow","red","thirdDistractor","female",19,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514419557",1,1,"orange_banana.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","3|2|1|0",NA,"<strong>Director</strong>: orange, should be yellow","swan",1,"atp",1576513220007,"swan","banana",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","lettuce",14300,"orange, should be yellow","orange","green","thirdDistractor","female",20,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514433109",1,1,"red_broccoli.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","1|0|2|3",NA,"<strong>Director</strong>: red, should be green","tomato",1,"tap",1576513220007,"tomato","swan",1,54,NA,1,"Graduated High School",NA,"English","firstDistractor","broccoli",12463,"red, should be green","green","red","firstDistractor","female",21,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514448213",1,1,"green_lettuce.png","green","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|0|3",NA,"<strong>Director</strong>: make a salad with it","lettuce",1,"atp",1576513220007,"lettuce","corn",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","carrot",15334,"make a salad with it","yellow","orange","secondDistractor","female",22,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514465133",1,1,"white_egg.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","2|1|0|3",NA,"<strong>Director</strong>: it comes from a chicken","egg",1,"atp",1576513220007,"egg","swan",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","banana",20659,"it comes from a chicken","green","yellow","secondDistractor","female",23,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514486052",1,1,"yellow_strawberry.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","2|0|3|1",NA,"<strong>Director</strong>: yellow, should be red","egg",1,"aap",1576513220007,"egg","tomato",1,54,NA,1,"Graduated High School",NA,"English","firstDistractor","strawberry",22033,"yellow, should be red","red","yellow","firstDistractor","female",24,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514510156",1,1,"orange_lettuce.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","0|1|2|3",NA,"<strong>Director</strong>: orange, should be green","lettuce",1,"tap",1576513220007,"lettuce","corn",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","carrot",20261,"orange, should be green","yellow","green","secondDistractor","female",25,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514525516",1,1,"red_strawberry.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","2|1|3|0",NA,"<strong>Director</strong>: red","egg",1,"tap",1576513220007,"egg","strawberry",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","tomato",10684,"red","red","white","thirdDistractor","female",26,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514534012",1,1,"yellow_banana.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","2|1|3|0",NA,"<strong>Director</strong>: yellow","strawberry",1,"tan",1576513220007,"swan","banana",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","corn",8384,"yellow","yellow","red","thirdDistractor","female",27,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514542300",1,1,"white_swan.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","3|0|1|2",NA,"<strong>Director</strong>: bird","swan",1,"tan",1576513220007,"carrot","strawberry",1,54,NA,1,"Graduated High School",NA,"English","target","tomato",6660,"bird","yellow","white","target","female",28,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514558148",1,1,"green_lettuce.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","0|3|2|1",NA,"<strong>Director</strong>: make a salad with it","broccoli",1,"ttp",1576513220007,"broccoli","banana",1,54,NA,1,"Graduated High School",NA,"English","firstDistractor","lettuce",16679,"make a salad with it","yellow","green","firstDistractor","female",29,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514568980",1,1,"orange_pumpkin.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","3|2|0|1",NA,"<strong>Director</strong>: halloween","pumpkin",1,"ttn",1576513220007,"strawberry","swan",1,54,NA,1,"Graduated High School",NA,"English","target","carrot",9333,"halloween","white","orange","target","female",30,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514583932",1,1,"white_pumpkin.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|0|3",NA,"<strong>Director</strong>: halloween except white","pumpkin",1,"tap",1576513220007,"pumpkin","tomato",1,54,NA,1,"Graduated High School",NA,"English","secondDistractor","banana",15124,"halloween except white","red","orange","secondDistractor","female",31,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514601004",1,1,"red_strawberry.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","2|3|1|0",NA,"<strong>Director</strong>: red sweet fruit, berry","strawberry",1,"ttp",1576513220007,"strawberry","carrot",1,54,NA,1,"Graduated High School",NA,"English","target","tomato",20060,"red sweet fruit, berry","green","red","target","female",32,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514622483",1,1,"orange_carrot.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","3|1|0|2",NA,"<strong>Director</strong>: rabbits eat it","carrot",1,"tan",1576513220007,"egg","tomato",1,54,NA,1,"Graduated High School",NA,"English","target","lettuce",17038,"rabbits eat it","white","orange","target","female",33,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514632611",1,1,"green_swan.png","white","ae7a6d37036eff5d785be245238cfa1bb614a367","3|0|1|2",NA,"<strong>Director</strong>: green bird","swan",1,"atp",1576513220007,"swan","carrot",1,54,NA,1,"Graduated High School",NA,"English","target","broccoli",9027,"green bird","orange","green","target","female",34,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514644547",1,1,"red_strawberry.png","yellow","ae7a6d37036eff5d785be245238cfa1bb614a367","1|2|3|0",NA,"<strong>Director</strong>: red berry","strawberry",1,"ttn",1576513220007,"banana","broccoli",1,54,NA,1,"Graduated High School",NA,"English","target","tomato",11465,"red berry","green","red","target","female",35,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514654323",1,1,"green_swan.png","orange","ae7a6d37036eff5d785be245238cfa1bb614a367","3|0|2|1",NA,"<strong>Director</strong>: green bird","banana",1,"tan",1576513220007,"lettuce","swan",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","egg",8924,"green bird","green","yellow","thirdDistractor","female",36,1576513170218,0.829816666666667,1,"436063231031178"
"Mon Dec 16 2019 10:19:30 GMT-0600 (Central Standard Time)","1576514664419",1,1,"orange_lettuce.png","red","ae7a6d37036eff5d785be245238cfa1bb614a367","2|1|0|3",NA,"<strong>Director</strong>: orange salad","swan",1,"tan",1576513220007,"broccoli","lettuce",1,54,NA,1,"Graduated High School",NA,"English","thirdDistractor","pumpkin",11017,"orange salad","orange","white","thirdDistractor","female",37,1576513170218,0.829816666666667,1,"436063231031178"
